"","X","Length","Width","MeanThick","Max_Thick","Weight","Surface.Plat","Platfom_Depth","Cortex","No_Scars","Termination_type","EPA","Log_Weight","Log_Max_Thick","Log_Plat","Log_Plat_De"
"240",240,35.3,23.8,5.33333333333333,7.2,4.5,50.96,4.9,5,3,"Feather",69,0.653212513775344,0.857332496431269,1.70722941932729,0.690196080028514
"241",241,32.9,41.4,4.46666666666667,4.8,5.67,27.54,3.4,5,2,"Hinge",79,0.753583058892907,0.681241237375587,1.4399639359209,0.531478917042255
"242",242,42.7,32.2,4.43333333333333,5,6.17,36.96,4.2,5,3,"Feather",90,0.790285164033242,0.698970004336019,1.56773196254807,0.6232492903979
"243",243,39.7,37.7,6.86666666666667,8,8.85,16.72,4.4,5,3,"Feather",79,0.946943270697825,0.903089986991944,1.223236273103,0.643452676486187
"244",244,28.9,30.7,3.73333333333333,5.2,3.42,33.345,3.9,5,2,"Feather",89,0.534026106056135,0.716003343634799,1.52303072175467,0.591064607026499
"245",245,68,49.3,10.7666666666667,11.9,35.48,53.04,5.1,5,4,"Feather",85,1.54998361115969,1.07554696139253,1.72460351539672,0.707570176097936
"246",246,48.5,50.8,14.1333333333333,15.7,34.59,109.755,8.1,5,4,"Feather",88,1.53895056201436,1.19589965240923,2.04042431408907,0.90848501887865
"247",247,38,40,10.1666666666667,15.4,14.93,66.48,4.8,5,2,"Feather",70,1.17405980772503,1.18752072083646,1.82269101077605,0.681241237375587
"248",248,24.2,43,6.1,7.8,4.04,26.35,3.4,5,1,"Feather",85,0.606381365110605,0.89209460269048,1.42078061954857,0.531478917042255
"249",249,36.8,28,3.73333333333333,4,3.84,46.8,4.5,5,3,"Feather",78,0.584331224367531,0.602059991327962,1.67024585307412,0.653212513775344
"250",250,49.1,21.7,3.36666666666667,4,3.79,13.1946891450771,2.8,5,3,"Feather",81,0.578639209968072,0.602059991327962,1.12039916309203,0.447158031342219
"251",251,38.2,20.3,3.26666666666667,4.1,2.22,17.5615029335669,4.3,5,2,"Feather",75,0.346352974450639,0.612783856719735,1.24456168058056,0.633468455579587
"252",252,50.9,24.2,4.3,4.9,3.89,9.23628240155399,2.4,5,3,"Feather",79,0.589949601325708,0.690196080028514,0.965497203106291,0.380211241711606
"253",253,62.7,46.3,9.33333333333333,11.3,34.47,165.135,10.1,5,6,"Feather",85,1.53744128340795,1.05307844348342,2.21783913077895,1.00432137378264
"254",254,74.5,61,13.2333333333333,14.9,59.07,434.717883440488,13.5,5,5,"Feather",83,1.77136697085778,1.17318626841227,2.63820750658091,1.13033376849501
"255",255,56,35.6,9.4,11.8,21.01,122.65,11,5,3,"Hinge",70,1.32242605240595,1.07188200730613,2.0886675525424,1.04139268515823
"256",256,36.3,30.2,5.93333333333333,6.6,6.94,12,3,5,3,"Feather",71,0.841359470454855,0.819543935541869,1.07918124604762,0.477121254719662
"257",257,39.4,33.5,4.83333333333333,6.3,6.87,16,4,5,2,"Feather",75,0.83695673705955,0.799340549453582,1.20411998265592,0.602059991327962
"258",258,48,45,9.83333333333333,16.3,15.05,44.485,3.1,5,2,"Feather",55,1.17753649992986,1.21218760440396,1.64821359490428,0.491361693834273
"259",259,41.9,19.6,5.9,7.5,5.22,35.28,4.8,5,2,"Feather",89,0.717670503002262,0.8750612633917,1.54752857645978,0.681241237375587
"260",260,38.6,41.2,5.7,7.5,8.51,7.06858347057703,2,5,3,"Feather",75,0.929929560084588,0.8750612633917,0.849332390805496,0.301029995663981
"261",261,39.9,46,9.83333333333333,12.5,15.48,8.855,2.3,5,3,"Feather",74,1.18977095634687,1.09691001300806,0.947188565526094,0.361727836017593
"262",262,53.9,51.2,14.2333333333333,17,39.59,30.72,4.8,5,4,"Plunging",99,1.5975855017522,1.23044892137827,1.48742121135947,0.681241237375587
"263",263,36.3,49.9,5.43333333333333,7.6,10.02,31.4,4,5,2,"Hinge",76,1.00086772153123,0.880813592280791,1.49692964807321,0.602059991327962
"264",264,39,44.3,4.5,5.9,6.39,35.245,5.3,5,2,"Feather",71,0.8055008581584,0.770852011642144,1.54709751490389,0.724275869600789
"265",265,49.7,34.3,5.43333333333333,8.1,9.07,58.32,5.4,5,2,"Feather",75,0.957607287060095,0.90848501887865,1.76581751530992,0.732393759822969
"266",266,32.5,37.7,4.23333333333333,6.6,3.71,17.85,4.2,5,2,"Feather",72,0.569373909615046,0.819543935541869,1.25163822044821,0.6232492903979
"267",267,40.7,25.8,3.3,5.3,4.81,101.7,9,5,2,"Feather",75,0.682145076373832,0.724275869600789,2.00732095292274,0.954242509439325
"268",268,33.1,29.8,4.33333333333333,5.9,4.19,50.085,6.3,5,2,"Feather",85,0.622214022966295,0.770852011642144,1.69970767811005,0.799340549453582
"269",269,41.4,43.6,7.23333333333333,8.8,12.23,14.3335164820034,2.5,5,3,"Feather",87,1.08742645703629,0.944482672150169,1.15635275015867,0.397940008672038
"270",270,42.4,39.8,9.16666666666667,11.2,19.5,61.0725611857856,5.4,4,3,"Feather",82,1.29003461136252,1.04921802267018,1.78584613328439,0.732393759822969
"271",271,40.5,35.1,7.3,9.3,8.83,19.055,3.7,4,3,"Feather",75,0.945960703577569,0.968482948553935,1.28000895310819,0.568201724066995
"272",272,83,36.1,5.23333333333333,7.2,16.46,40.92,6.2,5,4,"Feather",85,1.21642983087625,0.857332496431269,1.61193562504012,0.792391689498254
"273",273,78.7,45.8,7.63333333333333,8.9,37.42,41.245,7.3,4,7,"Feather",84,1.57310378316399,0.949390006644913,1.61537130793989,0.863322860120456
"274",274,63.3,51.5,8.53333333333333,11.1,28.59,49.855,5.9,4,3,"Feather",75,1.45621415535799,1.04532297878666,1.69770872059184,0.770852011642144
"275",275,38.1,32.8,5.13333333333333,6,7,48.6946861306418,4,5,5,"Feather",88,0.845098040014257,0.778151250383644,1.68748157086443,0.602059991327962
"276",276,32.8,32.1,4.4,6.6,5.55,41.565,5.1,5,4,"Feather",86,0.744292983122676,0.819543935541869,1.61872778483791,0.707570176097936
"277",277,20.7,25.3,5.46666666666667,6.1,2.73,18.92,4.4,5,2,"Feather",79,0.436162647040756,0.785329835010767,1.27692113206577,0.643452676486187
"278",278,21.1,24.1,3.63333333333333,4.3,1.78,7.04,3.2,5,3,"Feather",85,0.250420002308894,0.633468455579587,0.847572659142112,0.505149978319906
"279",279,25,15,2.96666666666667,3.7,1.17,17.02,2.3,5,3,"Feather",85,0.0681858617461616,0.568201724066995,1.23095955574857,0.361727836017593
"280",280,41.8,28.6,8.3,9.3,6.05,33.32,4.9,5,3,"Feather",65,0.781755374652469,0.968482948553935,1.52270499273475,0.690196080028514
"281",281,42.2,37.9,8.16666666666667,11,8.54,11.0269902141002,2.7,5,2,"Feather",70,0.931457870689005,1.04139268515823,1.04245698915996,0.431363764158987
"282",282,38.3,39.3,9.76666666666667,11,9.25,145.14,8.2,5,3,"Feather",65,0.966141732739033,1.04139268515823,2.16178711874552,0.913813852383717
"283",283,53.9,41.1,11.5666666666667,14.2,13.62,22.515,5.7,5,2,"Feather",80,1.13417710757677,1.15228834438306,1.35247195129895,0.755874855672491
"284",284,50.2,31,10,10.9,10.99,32.175,6.5,5,2,"Feather",66,1.04099769242349,1.03742649794062,1.50751855557642,0.812913356642856
"285",285,49,31,8.4,10.2,10.14,220.8,8,5,3,"Feather",72,1.00603795499732,1.00860017176192,2.34399906905716,0.903089986991944
"286",286,50.1,33.8,15.6,18.5,16.42,246.61,18.2,5,2,"Hinge",60,1.21537315278342,1.26717172840301,2.3920106831955,1.26007138798507
"287",287,49.7,35.8,4.36666666666667,6.4,5.65,86.26,7.6,3,2,"Feather",65,0.752048447819439,0.806179973983887,1.93580945380993,0.880813592280791
"288",288,34.4,26,9.26666666666667,10.4,6.54,136.29,11.8,5,2,"Feather",60,0.815577748324267,1.01703333929878,2.13446399153429,1.07188200730613
"289",289,26.4,24.3,6.86666666666667,7.4,3.08,68.985,6.3,4,2,"Feather",83,0.488550716500444,0.869231719730976,1.83875466862972,0.799340549453582
"290",290,29.3,25.6,4.4,4.5,2.01,45.36,4.8,5,3,"Feather",75,0.303196057420489,0.653212513775344,1.65667304588485,0.681241237375587
"291",291,24.4,31.5,12.0666666666667,14.5,5.49,64,8,3,2,"Feather",62,0.739572344450092,1.16136800223497,1.80617997398389,0.903089986991944
"292",292,34.1,17,4.86666666666667,5.2,1.97,22.04,3.8,5,3,"Feather",70,0.294466226161593,0.716003343634799,1.34321159017975,0.57978359661681
"293",293,21.9,14.9,6.13333333333333,7.1,1.14,14.88,4.8,3,2,"Feather",80,0.0569048513364726,0.851258348719075,1.17260293120986,0.681241237375587
"294",294,29,31,8.26666666666667,10,4.1,98.24,6.4,2,2,"Feather",74,0.612783856719735,1,1.99228835379709,0.806179973983887
"295",295,41.7,32.5,6.93333333333333,7.9,5.78,65.7692422029023,5.3,5,2,"Feather",76,0.761927838420529,0.897627091290441,1.81802283792138,0.724275869600789
"296",296,37,38.5,6.1,8.8,5.18,62.4391539900971,5.3,5,3,"Feather",64,0.714329759745233,0.944482672150169,1.79545701002264,0.724275869600789
"297",297,29.4,23.6,7.1,8.2,3.24,19.55,4.6,3,3,"Feather",75,0.510545010206612,0.913813852383717,1.29114676173189,0.662757831681574
"298",298,40.3,21.4,7.4,9.6,4.51,24.61,4.6,5,4,"Feather",55,0.65417654187796,0.982271233039568,1.3911116137028,0.662757831681574
"299",299,53.3,27.4,5.63333333333333,6.5,6.94,9.22842841992002,2.5,3,3,"Feather",67,0.841359470454855,0.812913356642856,0.965127747973927,0.397940008672038
"300",300,43.8,25.8,5.16666666666667,5.7,3.71,48.5,5,5,5,"Feather",81,0.569373909615046,0.755874855672491,1.68574173860226,0.698970004336019
"301",301,46.2,21.6,5.83333333333333,6.5,4.16,5.115,3.3,5,5,"Feather",75,0.619093330626743,0.812913356642856,0.708845638048179,0.518513939877887
"302",302,47.1,31,4.76666666666667,6,3.31,7.95,3,5,3,"Feather",65,0.519827993775719,0.778151250383644,0.90036712865647,0.477121254719662
